id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12313584,Luxury Waterview 2-Bed Suite,66415412,Canadian Business Traveler,,Downtown,49.28636,-123.12052,Entire home/apt,260,30,0,,,1,180,0,
12321367,Industrial Loft with Mountain Views,9734530,Felix,,Downtown Eastside,49.28295,-123.10105,Entire home/apt,150,30,16,2018-07-30,0.22,1,0,0,
12336968,City Cottage - 4BR/2BA >1800 Sqft Family friendly,113740248,Ellen & Juan,,Kensington-Cedar Cottage,49.25291,-123.08406,Entire home/apt,3500,2,54,2022-08-04,0.68,3,28,5,22-156111
12345888,Arty Apt with Private Patio in 110 yr-old bldg,30064922,Emily,,Fairview,49.26448,-123.12735,Entire home/apt,170,2,94,2022-09-05,1.16,2,0,6,22-156455
12391067,E1 - Chic Downtown Condominium near Robson Street Boutiques,21783759,Viviena,,Downtown,49.28252,-123.12331,Entire home/apt,120,30,33,2022-09-18,0.42,8,177,7,
12423800,Georgian Colonial near UBC,67199819,Beryl,,Dunbar Southlands,49.24887,-123.18715,Entire home/apt,500,5,89,2022-08-27,1.11,1,224,11,19-162870
12449836,Big Bright Room in Kitsilano,67357296,Zara,,Kitsilano,49.26945,-123.15291,Private room,99,1,13,2020-02-16,0.31,1,0,0,19-260937
12488607,E VAN Family Bungalow - 2BR 1B w YD WIFI PARKNG,12307127,Laura & Peter,,Hastings-Sunrise,49.28612,-123.05247,Entire home/apt,158,2,37,2019-09-23,0.48,1,29,0,20-159690
12490989,Kitsilano Heritage Suite,9389478,Trent,,Kitsilano,49.27049,-123.16668,Entire home/apt,220,4,6,2022-08-15,0.86,1,0,6,22-218331
12511561,Studio Loft near Granville Island,14855120,Jim,,Fairview,49.26567,-123.13877,Entire home/apt,89,30,4,2016-09-01,0.05,1,0,0,
12522460,"Room in 110-yr old bldg: arty, spacious, central!",30064922,Emily,,Fairview,49.26274,-123.12739,Private room,140,2,62,2022-07-21,0.78,2,10,12,22-156455
12522873,Modern Gastown Loft,11590288,Shannon,,Downtown Eastside,49.28188,-123.10724,Entire home/apt,185,2,9,2018-08-27,0.11,1,0,0,18-608699
